Index,q1,q2,q3,q4,q5,q6
88,4.349711034607817e-16,3.645345241065754,2.150709437733914,3.141592653589793,1.69463580333184,5.360003710710923e-16
89,4.339846488904094e-16,3.6460539974826314,2.1523130786702933,3.141592653589793,1.693740918812338,5.3511182626513e-16
90,4.3324105560667385e-16,3.646721642425541,2.1538236389441487,3.141592653589793,1.692898003481392,5.345772407721162e-16
91,4.327576708443348e-16,3.6473504128409084,2.155246191131683,3.141592653589793,1.6921042217092255,5.343735683631027e-16
92,4.3182325797824183e-16,3.6479424386390296,2.156585564078539,3.141592653589793,1.6913568745604903,5.335161346702612e-16
93,4.3114905363354533e-16,3.6484997464237927,2.1578463515213966,3.141592653589793,1.6906533949023959,5.330308329782928e-16
94,4.3068301610596606e-16,3.6490242632196415,2.1590329206859287,3.141592653589793,1.6899913425337127,5.328295654126835e-16
95,4.307027011516603e-16,3.649517820183075,2.160149420833152,3.141592653589793,1.6893683993499233,5.332831439930497e-16
96,4.3073973343211427e-16,3.6499821562867725,2.161199791728203,3.141592653589793,1.6887823645585698,5.337121318513999e-16
97,4.3063798783449014e-16,3.6504189219652985,2.1621877720076736,3.141592653589793,1.6882311499576255,5.338941064677492e-16
98,4.3062297841066487e-16,3.650829682712288,2.163116907423805,3.141592653589793,1.6877127752884835,5.341665422279958e-16
99,4.3124981667295097e-16,3.6512159226199508,2.1639905589460118,3.141592653589793,1.6872253636739394,5.353617864583478e-16
